순위,상품명,브랜드명,url,조회수,좋아요,구매후기 개수,평점,누적판매량(1년)
2071위,SU TRIBAL BUTTERFLY TEE(BLACK),러브이즈트루,https://www.musinsa.com/app/goods/2588125?loc=goods_rank,1.4천 회 이상,"2,086",후기 76개 보기,4.9,300개 이상
2072위,서클로고 반팔티셔츠(FE2RSE5104XOWH),휠라,https://www.musinsa.com/app/goods/2683303?loc=goods_rank,600회 이상,56,후기 5개 보기,5,50개 미만
2073위,우먼즈 릴렉스드 보트 넥 긴팔 티셔츠 [블랙],무신사 스탠다드,https://www.musinsa.com/app/goods/2514366?loc=goods_rank,2.1천 회 이상,"1,309",후기 170개 보기,4.9,900개 이상
2074위,C.r.e.a.m SEMI OVER FIT T-SHIRT(WHITE),로맨틱 파이어리츠,https://www.musinsa.com/app/goods/1021729?loc=goods_rank,2.4천 회 이상,"5,887","후기 5,416개 보기",4.8,3.7천 개 이상
2075위,RMTC 클럽 웜업_오트밀,로맨틱크라운,https://www.musinsa.com/app/goods/1793290?loc=goods_rank,2.4천 회 이상,916,후기 38개 보기,4.9,50개 이상
2076위,윈터 스웨트셔츠(딥그린),카멜워크,https://www.musinsa.com/app/goods/2062204?loc=goods_rank,500회 이상,506,후기 105개 보기,4.8,100개 이상
2077위,[Woman]클래식 세미 오버핏 옥스포드 셔츠_Blooming Red,라퍼지 포 우먼,https://www.musinsa.com/app/goods/3130513?loc=goods_rank,900회 이상,142,후기 0개,평점 0점,
2078위,West Point Prep Heavy Weight Hoodie Vintage Black,에스피오나지,https://www.musinsa.com/app/goods/3094087?loc=goods_rank,2.8천 회 이상,183,후기 21개 보기,5,50개 이상
2079위,스몰 하트 럭비 맨투맨 [그린],랑가주망,https://www.musinsa.com/app/goods/3031545?loc=goods_rank,3.3천 회 이상,499,후기 23개 보기,5,100개 이상
2080위,블루밍 맨투맨 다크와인 JJMT7204,더블유브이프로젝트,https://www.musinsa.com/app/goods/851670?loc=goods_rank,700회 이상,"2,110",후기 549개 보기,4.6,
2081위,21C BOYS RMTCRW LOGO HOOD_YELLOW,로맨틱크라운,https://www.musinsa.com/app/goods/1110103?loc=goods_rank,100회 이상,328,후기 33개 보기,4.7,50개 이상
2082위,COTTON HERITAGE UNIVERSITY DAN PK CABLE KNIT NAVY,예일,https://www.musinsa.com/app/goods/2824739?loc=goods_rank,2.3천 회 이상,"1,063",후기 101개 보기,4.9,400개 이상
2083위,내츄럴 오버핏 워싱 데님 셔츠 _Middle Blue,라퍼지스토어,https://www.musinsa.com/app/goods/3129927?loc=goods_rank,2.8천 회 이상,281,후기 1개 보기,5,50개 미만
2084위,라이트 하찌 버튼 카라 캐시라이크 니트_LIGHT MELANGE GRAY,데이,https://www.musinsa.com/app/goods/2745833?loc=goods_rank,1.9천 회 이상,152,후기 25개 보기,4.8,50개 이상
2085위,레이온 루즈핏 타이다이 크롭 셔츠-블루,어반드레스,https://www.musinsa.com/app/goods/1907129?loc=goods_rank,1.1천 회 이상,"2,507",후기 168개 보기,4.8,300개 이상
2086위,플랫 테리 릴렉스 핏 칼라드 스웨트셔츠 [블랙],무신사 스탠다드,https://www.musinsa.com/app/goods/2705814?loc=goods_rank,600회 이상,127,후기 32개 보기,4.9,50개 이상
2087위,우먼즈 카라 배색 크롭 스웻 셔츠 그레이화이트,어썸스튜디오,https://www.musinsa.com/app/goods/2962477?loc=goods_rank,1천 회 이상,401,후기 5개 보기,5,50개 미만
2088위,Darling Hoodie Black,클럽액티비티,https://www.musinsa.com/app/goods/2129305?loc=goods_rank,2천 회 이상,126,후기 12개 보기,4.3,50개 미만
