순위,상품명,브랜드명,url,조회수,좋아요,구매후기 개수,평점,누적판매량(1년)
2791위,SPRING OVERSIZED SHIRT BLUE,어반드레스,https://www.musinsa.com/app/goods/1402730?loc=goods_rank,2.4천 회 이상,"7,807","후기 1,342개 보기",4.7,1천 개 이상
2792위,베이직 오버핏 드롭숄더 후디_버터,아스트랄 프로젝션,https://www.musinsa.com/app/goods/2828193?loc=goods_rank,,12,후기 0개,평점 0점,
2793위,뉴필드 후드 회색 SMHD4457,퍼스텝,https://www.musinsa.com/app/goods/2348242?loc=goods_rank,3.8천 회 이상,"6,996","후기 1,048개 보기",4.8,3천 개 이상
2794위,EBFD 베츠 반팔 티셔츠 아이보리,이벳필드,https://www.musinsa.com/app/goods/2436658?loc=goods_rank,1천 회 이상,"1,052",후기 147개 보기,4.8,800개 이상
2795위,Rose Heart Hoodie [White Melange],로제프란츠,https://www.musinsa.com/app/goods/2998222?loc=goods_rank,,80,후기 1개 보기,1,
2796위,콘트라스트 스티치 후디드 스웨트셔츠 [블루],무신사 스탠다드,https://www.musinsa.com/app/goods/1817967?loc=goods_rank,800회 이상,684,후기 135개 보기,4.9,100개 이상
2797위,[Mmlg] Mm FAMILY HF-T (MINT WASH),엠엠엘지,https://www.musinsa.com/app/goods/3056547?loc=goods_rank,900회 이상,110,후기 0개,평점 0점,
2798위,에센셜 롱 슬리브 화이트 IETS3E001WT,일꼬르소,https://www.musinsa.com/app/goods/3033484?loc=goods_rank,100회 이상,80,후기 6개 보기,4.3,50개 미만
2799위,리오 오버핏 벌룬 후드 차콜 KJHD2304,제멋,https://www.musinsa.com/app/goods/1604797?loc=goods_rank,1000회 이상,"1,512",후기 363개 보기,4.8,200개 이상
2800위,스퀘어 크롭 블라우스 (화이트),낫유어엑스엑스엑스 바이 낫유어로즈,https://www.musinsa.com/app/goods/1455731?loc=goods_rank,1.4천 회 이상,"1,254",후기 35개 보기,4.7,50개 이상
2801위,에센셜 시그니쳐 반집업 맨투맨_검정,어나더 아카이브,https://www.musinsa.com/app/goods/2766962?loc=goods_rank,1.3만 회 이상,"4,034",후기 179개 보기,4.8,1.2천 개 이상
