순위,상품명,브랜드명,url,조회수,좋아요,구매후기 개수,평점,누적판매량(1년)
2881위,오버사이즈 터틀 넥 니트 [크림],무신사 스탠다드,https://www.musinsa.com/app/goods/2815352?loc=goods_rank,2.2천 회 이상,364,후기 57개 보기,4.8,200개 이상
2882위,ATH TEE(SURF CLUB)_ORANGE,아웃스탠딩,https://www.musinsa.com/app/goods/2472352?loc=goods_rank,300회 이상,859,후기 522개 보기,4.8,1.2천 개 이상
2883위,글리치 튤립 풀오버 니트 [블랙],슬로우애시드,https://www.musinsa.com/app/goods/2970573?loc=goods_rank,1.5천 회 이상,634,후기 9개 보기,4.4,50개 미만
2884위,커스텀핏 폴로 베어 옥스포드 셔츠 - 화이트,폴로 랄프 로렌,https://www.musinsa.com/app/goods/2406918?loc=goods_rank,4.1천 회 이상,889,후기 45개 보기,4.8,100개 이상
2885위,스트라이프 보트 넥 긴팔 티셔츠 [네이비/아이보리],무신사 스탠다드,https://www.musinsa.com/app/goods/1809546?loc=goods_rank,1.1천 회 이상,795,후기 363개 보기,4.8,500개 이상
2886위,올카 오버핏 스웨트셔츠 9종 블랙 KJMT2463,제멋,https://www.musinsa.com/app/goods/3039444?loc=goods_rank,1.7천 회 이상,206,후기 12개 보기,4.7,100개 이상
2887위,수피마 릴렉스드 크루 넥 긴팔 티셔츠 [블랙],무신사 스탠다드,https://www.musinsa.com/app/goods/2705876?loc=goods_rank,1.2천 회 이상,361,후기 102개 보기,4.9,500개 이상
2888위,메쉬쿨론 돌핀레터링 슬리브리스_오프화이트,게인스보로,https://www.musinsa.com/app/goods/2036706?loc=goods_rank,1.6천 회 이상,676,후기 189개 보기,4.9,1천 개 이상
2889위,우먼즈 텐셀 슬림 터틀 넥 티셔츠 [블랙],무신사 스탠다드,https://www.musinsa.com/app/goods/1639445?loc=goods_rank,1.7천 회 이상,"3,890","후기 1,164개 보기",4.8,4.2천 개 이상
2890위,1000G 헤리티지 다잉 후디 버건디,에이징씨씨씨,https://www.musinsa.com/app/goods/2715334?loc=goods_rank,300회 이상,141,후기 7개 보기,5,
2891위,에브리데이 오버핏 체크 셔츠 [#14 블랙],르아르,https://www.musinsa.com/app/goods/2748212?loc=goods_rank,900회 이상,236,후기 16개 보기,4.9,50개 이상
2892위,오버핏 페인팅 라운드 크롭 케이블 반팔 니트,플레이스 스튜디오,https://www.musinsa.com/app/goods/2996391?loc=goods_rank,2.1천 회 이상,346,후기 0개,평점 0점,50개 미만
2893위,M-Logo Sweat 2  (JM5TSU831IV),지프,https://www.musinsa.com/app/goods/1809660?loc=goods_rank,2.5천 회 이상,580,후기 70개 보기,4.8,50개 이상
2894위,1960 sweatshirts grey,유니폼브릿지,https://www.musinsa.com/app/goods/2711751?loc=goods_rank,1.9천 회 이상,818,후기 174개 보기,4.9,600개 이상
2895위,커스텀 슬림핏 메시 폴로 셔츠 - 그레이,폴로 랄프 로렌,https://www.musinsa.com/app/goods/1848790?loc=goods_rank,1.7천 회 이상,499,후기 91개 보기,4.9,100개 이상
2896위,TC5-TS0110 사커스웨트-파블로,토마스모어,https://www.musinsa.com/app/goods/2305870?loc=goods_rank,300회 이상,697,후기 150개 보기,4.9,200개 이상
2897위,더블엔젤 빅로고 맨투맨 브라운,와릿이즌,https://www.musinsa.com/app/goods/3124561?loc=goods_rank,,18,후기 0개,평점 0점,
