순위,상품명,브랜드명,url,조회수,좋아요,구매후기 개수,평점,누적판매량(1년)
3781위,에센셜 시그니쳐 자수 후드티_크림,어나더 아카이브,https://www.musinsa.com/app/goods/2766794?loc=goods_rank,1.6천 회 이상,640,후기 34개 보기,4.9,200개 이상
3782위,코튼-매쉬 후드 니티드 자켓 (네이비),노이어,https://www.musinsa.com/app/goods/3062825?loc=goods_rank,1.7천 회 이상,271,후기 0개,평점 0점,
3783위,NAVAJO NEEDLEWORK SWEATSHIRT _ BLACK,프리즘웍스,https://www.musinsa.com/app/goods/3114848?loc=goods_rank,2.5천 회 이상,69,후기 3개 보기,5,
3784위,어센틱 로고 후디 블랙,커버낫,https://www.musinsa.com/app/goods/681070?loc=goods_rank,5.5천 회 이상,"23,698","후기 3,072개 보기",4.8,4천 개 이상
3785위,[일반/기모] LT444_러닝클럽 럭비 맨투맨_블랙,어반디타입,https://www.musinsa.com/app/goods/2380927?loc=goods_rank,1.1만 회 이상,"8,998",후기 555개 보기,4.8,2.9천 개 이상
3786위,슬림핏 메시 폴로 셔츠 - 블루,폴로 랄프 로렌,https://www.musinsa.com/app/goods/1979777?loc=goods_rank,600회 이상,576,후기 71개 보기,4.9,200개 이상
3787위,저지 롱슬리브 셔츠 - 화이트,폴로 랄프 로렌,https://www.musinsa.com/app/goods/1793940?loc=goods_rank,600회 이상,"1,332",후기 28개 보기,5,50개 미만
3788위,여성 로고 하트 반소매 티셔츠 - 화이트 / 615522YBSO29744,생로랑,https://www.musinsa.com/app/goods/2673319?loc=goods_rank,1.1천 회 이상,318,후기 5개 보기,5,50개 미만
3789위,로버스트 헤비 오버핏 반팔티셔츠 MST127 [BLACK],미니멀프로젝트,https://www.musinsa.com/app/goods/1420995?loc=goods_rank,700회 이상,413,후기 179개 보기,4.7,700개 이상
3790위,나폴리 소프트 코튼 폴로 니트 오션 크림,세터,https://www.musinsa.com/app/goods/2381749?loc=goods_rank,2.9천 회 이상,"6,047","후기 1,017개 보기",4.9,1.9천 개 이상
3791위,케이블니트 V넥 스웨터 - 블랙,폴로 랄프 로렌,https://www.musinsa.com/app/goods/1793978?loc=goods_rank,5.6천 회 이상,"10,123",후기 499개 보기,4.8,1.2천 개 이상
