순위,상품명,브랜드명,url,조회수,좋아요,구매후기 개수,평점,누적판매량(1년)
3061위,TWO-TONE BLOOMING SHMOO WAPPEN T-SHIRT BLACK,와릿이즌,https://www.musinsa.com/app/goods/2468280?loc=goods_rank,1.3만 회 이상,"2,229",후기 162개 보기,4.9,1.6천 개 이상
3062위,[23SS Ver.]시티보이 빅오버 워싱 데님 셔츠_Deep Blue,라퍼지스토어,https://www.musinsa.com/app/goods/3129883?loc=goods_rank,2.9천 회 이상,224,후기 2개 보기,5,50개 미만
3063위,오버넥 하찌 집업 니트 - 4 COLOR,수아레,https://www.musinsa.com/app/goods/2723765?loc=goods_rank,1.4만 회 이상,"10,030","후기 1,225개 보기",4.8,3.8천 개 이상
3064위,스튜디오 아치 로고 하프 집업_네이비,1993스튜디오,https://www.musinsa.com/app/goods/2988053?loc=goods_rank,9.7천 회 이상,"1,555",후기 57개 보기,4.8,300개 이상
3065위,자수 로고 빈티지핏 맨투맨 오트밀,리,https://www.musinsa.com/app/goods/2295253?loc=goods_rank,3.5천 회 이상,"1,641",후기 70개 보기,4.8,300개 이상
3066위,남 J320770 YAF 화이트 클래식 모노그램 로고 반팔 티셔츠,캘빈클라인 진,https://www.musinsa.com/app/goods/1763218?loc=goods_rank,3.7천 회 이상,"15,261","후기 1,511개 보기",4.8,5천 개 이상
3067위,RACING DENIM SHIRT (DENIM),위캔더스,https://www.musinsa.com/app/goods/3059015?loc=goods_rank,1.3천 회 이상,216,후기 0개,평점 0점,
3068위,C 로고 옥스포드 스트라이프 셔츠 라이트 블루,커버낫,https://www.musinsa.com/app/goods/1550595?loc=goods_rank,3.5천 회 이상,"5,906",후기 946개 보기,4.8,1.3천 개 이상
3069위,TAG CROP HOODIE - ASH,브라운브레스,https://www.musinsa.com/app/goods/3071120?loc=goods_rank,4.9천 회 이상,514,후기 8개 보기,4.9,50개 이상
3070위,코튼 블렌드 하프 셔츠 : 7컬러,인템포무드,https://www.musinsa.com/app/goods/2482720?loc=goods_rank,1.3천 회 이상,"5,922","후기 1,562개 보기",4.9,3.1천 개 이상
3071위,리플렉티브 포인트 우븐 맨투맨 블랙 (UN321SWT81),엄브로,https://www.musinsa.com/app/goods/2689865?loc=goods_rank,1.2천 회 이상,247,후기 15개 보기,5,50개 이상
3072위,테니스 하프 집업 조거 세트 -라이트그레이,슈퍼서브,https://www.musinsa.com/app/goods/2855195?loc=goods_rank,5.3천 회 이상,735,후기 29개 보기,4.9,100개 이상
3073위,LAUNDRY DENIM SHIRT (MID BLUE),유니온블루,https://www.musinsa.com/app/goods/2888200?loc=goods_rank,7.5천 회 이상,689,후기 174개 보기,5,200개 이상
3074위,저지 후드 티셔츠 - 블랙,폴로 랄프 로렌,https://www.musinsa.com/app/goods/2091658?loc=goods_rank,400회 이상,35,후기 0개,평점 0점,
3075위,펄 로고 티셔츠 - 블랙,인스턴트펑크,https://www.musinsa.com/app/goods/3041520?loc=goods_rank,4.9천 회 이상,"1,348",후기 18개 보기,4.8,50개 이상
3076위,스몰 컬리 로고 럭비 맨투맨 네이비,커버낫,https://www.musinsa.com/app/goods/3038256?loc=goods_rank,1.1천 회 이상,180,후기 2개 보기,5,50개 미만
3077위,ADS 빈티지 후드 - 블랙,배드블러드,https://www.musinsa.com/app/goods/2993966?loc=goods_rank,4.9천 회 이상,"2,939",후기 21개 보기,4.8,100개 이상
3078위,모니카 탑 (베이지),낫 유어 로즈,https://www.musinsa.com/app/goods/2775924?loc=goods_rank,2.6천 회 이상,"2,371",후기 32개 보기,4.5,100개 이상
3079위,코튼 저지 롱 슬리브 티 - 블랙,폴로 랄프 로렌,https://www.musinsa.com/app/goods/2216384?loc=goods_rank,600회 이상,541,후기 6개 보기,5,50개 미만
