,순위,상품명,브랜드명,평점,조회수,좋아요 수,구매후기 수,누적판매량
48,0.9893309624360969,[패키지] 오버핏 그래픽 반팔티셔츠 3PACK _BB2H18881,본하이커,4.8,24000.0,15305,2808,10000.0
49,0.9891086908201823,릴렉스 핏 옥스포드 셔츠 [화이트],무신사 스탠다드,4.8,49000.0,19634,16944,23000.0
50,0.9888864192042676,SWEATSHIRT FLOWERMARDI_WHITE VIVIDBLUE,마르디 메크르디,4.9,26000.0,33889,1715,7000.0
51,0.988664147588353,커스텀핏 버튼다운 옥스포드 셔츠  - 블루,폴로 랄프 로렌,4.8,8600.0,5580,825,1100.0
52,0.9884418759724383,23SS Comfy Oversized Shirt (Almond Milk),어나더 오피스,5.0,2800.0,132,6,50.0
53,0.9882196043565237,립 오버핏 데님 셔츠_BLUE,헤인트,0.0,0.0,1,0,0.0
54,0.987997332740609,벤슨 니트 집업(3 colors),그로브,4.7,8700.0,12298,247,500.0
55,0.9877750611246944,에센셜 쿨 코튼 2-PACK 티셔츠 블랙,커버낫,4.9,91000.0,133142,40409,141000.0
56,0.9875527895087798,[2PACK] 베이식 무지 레이어드 반팔 티셔츠 일반 기장,프린트스타,4.8,81000.0,23305,13540,53000.0
57,0.9873305178928651,SSB LOGO HOODIE (HEATHER GRAY),발란사,5.0,500.0,114,9,50.0
58,0.9871082462769505,클래식핏 스트라이프 셔츠 - 블루,폴로 랄프 로렌,4.7,600.0,527,28,50.0
59,0.9868859746610358,[SET] (맨투맨 OR 후드 선택) CGP 아치 로고 트레이닝 셋업_오트밀,코드그라피,4.9,45000.0,24042,1244,6800.0
60,0.9866637030451212,LONELY/LOVELY FLUFF SWEATSHIRT ASH GRAY,노앙,5.0,10000.0,514,33,200.0
61,0.9864414314292065,Comfort Shirt  01 (Light Pink),포터리,4.9,2700.0,212,21,50.0
62,0.9862191598132919,고밀도순면기본반팔티셔츠_3팩 MATS0101,마인드브릿지,4.8,20000.0,16129,13800,28000.0
63,0.9859968881973772,솔리드 옥스포드 오버셔츠(스카이블루),테이크이지,4.8,33000.0,51671,18888,14000.0
64,0.9857746165814626,90S 트랙 스웨트셔츠_블랙,1993스튜디오,4.8,55000.0,34068,1029,5600.0
65,0.9855523449655479,그라미치 빅 로고 포켓 티셔츠 블랙13587073,뉴에라,5.0,1700.0,44,5,50.0
66,0.9853300733496333,레이어드 크루 넥 반팔 티셔츠_일반 기장 [화이트],무신사 스탠다드,4.9,192000.0,74471,37764,216000.0
67,0.9851078017337186,엔들리스 세터데이 스웨트셔츠 클래식 블랙,세터,4.8,8300.0,710,12,50.0
68,0.984885530117804,쿨코튼 2-PACK 베츠 기본 반팔 티셔츠 블랙/화이트,이벳필드,4.9,37000.0,39853,11464,45000.0
69,0.9846632585018893,피치스킨 러스티 로고 스웨트셔츠 [블랙],슬로우애시드,4.8,67000.0,20500,465,3800.0
70,0.9844409868859747,케이블 니트 코튼 스웨터 - 그레이,폴로 랄프 로렌,4.5,6200.0,268,8,50.0
71,0.98421871527006,케이블니트 코튼 스웨터 - 아이보리,폴로 랄프 로렌,4.9,7600.0,1073,72,300.0
72,0.9839964436541454,W CLASSIC LOGO TEE white,마리떼,4.9,38000.0,27687,3651,12000.0
73,0.9837741720382307,오버사이즈 옥스포드 셔츠 [스카이 블루],무신사 스탠다드,4.9,8700.0,2400,678,1500.0
74,0.9835519004223161,TC5-SH08 프렌치 스트라이프 셔츠-네이비,토마스모어,4.9,41000.0,12368,3747,8400.0
75,0.9833296288064014,스포츠 클럽 져지 롱 슬리브 - 블랙,배드블러드,4.8,12000.0,5061,54,300.0
76,0.9831073571904868,23 ZIPPER OVERSIZED LONG SLEEVES T-SHIRTS BLACK,스티그마,0.0,0.0,9,0,0.0
