순위,상품명,브랜드,조회수,좋아요,구매후기 개수,평점,누적판매량
0.988664147588353,척테일러 올스타 화이트 옥스 M7652C,컨버스,26000.0,46907,8932,4.9,12000.0
0.9884418759724383,척테일러 올스타 캔버스 리프트 화이트 560251C,컨버스,26000.0,42705,5169,4.8,7300.0
0.9882196043565237,NBP7DS108I / WL574EVW (WOMEN),뉴발란스,25000.0,6322,362,4.9,1100.0
0.987997332740609,슈퍼스타 - 블랙:블랙 / EG4957,아디다스,25000.0,11001,1252,4.9,2900.0
0.9877750611246944,컴피쿠시 슬립온 - (클래식) 체커보드:트루 화이트 / VN0A3WMDVO41,반스,19000.0,10766,2927,4.8,5000.0
0.9875527895087798,청키 라이너 (CHUNKY LINER) NY (L.Grey),엠엘비,16000.0,14431,713,4.9,2700.0
0.9873305178928651,빅볼청키 A (BIGBALL CHUNKY A) NY (Ivory),엠엘비,18000.0,40770,9510,4.8,6000.0
0.9871082462769505,젤-1090 W - 화이트:미드나이트 / 1022A215-100,아식스,18000.0,8091,1997,4.9,1900.0
0.9868859746610358,메달리스트 스니커즈 in leather white,오트리,14000.0,2419,454,4.9,600.0
0.9866637030451212,척테일러 올스타 무브 블랙 570256C,컨버스,17000.0,20097,3261,4.9,6400.0
0.9864414314292065,클래식 슬립온 98 DX - (애너하임 팩토리) 체커보드:블랙:화이트 / VN0A3JEXPU11,반스,19000.0,11490,2805,4.9,3500.0
0.9862191598132919,슬립온 VR3 - (체커보드) 블랙:마쉬멜로우 / VN0007NC1KP1,반스,15000.0,2489,354,4.9,900.0
0.9859968881973772,클럽 C 85 - 버터 / HP4321,리복,24000.0,5199,286,4.8,1200.0
0.9857746165814626,조그 100 S (2E) - 블랙:블랙 / 1201A325-001,아식스,40000.0,12802,4018,4.9,7100.0
0.9855523449655479,리복X라이풀 RBK 프리미어 펌프 패리스 - 그레이 / GX0057,리복,22000.0,12145,5177,4.9,6400.0
0.9853300733496333,오리지날 플러스 피크닉 _ 블랙,캐치볼,17000.0,10955,2956,4.9,4400.0
0.9851078017337186,ACS+ OG - 바닐라:애보니:실버 / L47134400,살로몬 스포츠스타일,16000.0,1690,68,4.9,300.0
0.984885530117804,포럼 로우 - 화이트:블루 / FY7756,아디다스,15000.0,11982,1878,4.9,2800.0
0.9846632585018893,어센틱 - 레드 / VN000EE3RED1,반스,15000.0,32050,17623,4.9,14000.0
0.9844409868859747,어센틱 44 DX - (애너하임 팩토리) 블루 / VN0A38ENQA51,반스,21000.0,5575,993,4.9,2400.0
0.98421871527006,아스티어 W - 화이트:실버 / GY5565,아디다스,18000.0,4651,824,4.9,3700.0
0.9839964436541454,BSR 런닝화 티바트2.0 화이트,밸롭,21000.0,8064,1117,4.8,3500.0
0.9837741720382307,어센틱 44 DX - (애너하임 팩토리) 클래식 화이트 / VN0A38ENMR41,반스,25000.0,8937,1859,4.9,2500.0
0.9835519004223161,조거 플렉스 (BLUE),디스커버리 익스페디션,13000.0,22153,1562,4.9,3800.0
0.9833296288064014,조거 플렉스 FLEX (WHITE),디스커버리 익스페디션,12000.0,21579,3526,4.9,4500.0
0.9831073571904868,5IN OG HI - 독일군 스니커즈 키높이 버전,식스핏,13000.0,11655,5047,4.8,7800.0
0.9828850855745721,올드스쿨 - (피그 스웨이드) 정글 그린:스노우 화이트 / VN0A5JMI94T1,반스,18000.0,4327,400,4.8,1300.0
0.9826628139586575,컴피쿠시 원 - (체커보드) 마시멜로우:블랙 / VN0A45J5Q4O1,반스,17000.0,9997,4837,4.9,5600.0
0.9824405423427428,VERYLIGHT 2-PACK,23.65,27000.0,12459,1293,4.8,5200.0
0.9822182707268282,젤-NYC - 블랙:클레이 그레이 / 1201A789-001,아식스,32000.0,714,89,5.0,200.0
0.9819959991109135,레더 코트 스니커즈 [화이트],무신사 스탠다드,13000.0,15736,3587,4.8,8100.0
0.9817737274949989,슈퍼스타 보네가 W - 화이트:블랙 / GX1840,아디다스,23000.0,3453,83,4.8,500.0
0.9815514558790842,오즈위고 - 브라운 / FX6029,아디다스,13000.0,28118,8165,4.9,7000.0
0.9813291842631696,스타일 36 - 마시멜로우:드레스 블루 / VN0A3DZ3KE61,반스,22000.0,19581,3998,4.8,4800.0
0.9811069126472549,가젤 - 버건디 / B41645,아디다스,42000.0,2311,80,5.0,200.0
0.9808846410313403,PUR_LEATHER_SNEAKERS_WHITE,마르디 메크르디 슈즈,9900.0,4188,84,4.8,600.0
0.9806623694154256,조그 100 T (4E) - 블랙 / 1021A463-001,아식스,24000.0,8646,4481,4.9,5200.0
0.980440097799511,NBP7DS114W / U574OF2 (WHITE),뉴발란스,21000.0,4422,151,4.9,600.0
0.9802178261835963,척 70 빈티지 캔버스 핑크 172681C,컨버스,13000.0,5991,395,4.9,800.0
0.9799955545676817,어센틱 - (스웨이드) 마쉬멜로우:블랙 / VN0A5JMPKIG1,반스,23000.0,10781,1677,4.9,4500.0
0.979773282951767,센테니얼 85 로우 - 다크핑크:화이트 / GX2216,아디다스,33000.0,15659,423,4.8,1300.0
0.9795510113358524,멈멈 C.V 블랙,포즈간츠,18000.0,19161,1890,4.8,5600.0
0.9793287397199377,NBPDCF703W / ML725B (WHITE),뉴발란스,28000.0,13915,386,5.0,1600.0
0.9791064681040231,척 70 클래식 파치먼트 162053C,컨버스,15000.0,43447,7822,4.9,5300.0
0.9788841964881084,남성 슈퍼스타 블랙 탭 아이스 스타 스니커즈 - 화이트 / GMF00102F00031810220,골든구스,9200.0,877,179,5.0,300.0
0.9786619248721938,젤-소노마 15-50 - 오이스터 그레이:클레이 그레이 / 1201A785-020,아식스,33000.0,1046,78,5.0,200.0
0.9784396532562791,슈퍼스타 - 화이트 / EG4960,아디다스,8100.0,5372,755,4.9,1300.0
0.9782173816403645,포럼 로우 클래식 - 화이트 / ID6858,아디다스,16000.0,1793,48,4.7,200.0
0.9779951100244498,밀리터리 스탠다드 _ 쉘 화이트,캐치볼,13000.0,6805,1218,4.9,1400.0
0.9777728384085352,5IN OG - 오리지널 독일군 스니커즈,식스핏,10000.0,18728,8604,4.8,6400.0
0.9775505667926205,센테니얼 85 로우 - 그린:화이트 / FZ5880,아디다스,31000.0,4438,90,4.9,300.0
0.9773282951767059,올드스쿨 VR3 - 블랙:마쉬멜로우 / VN0005UB1KP1,반스,10000.0,1676,153,4.9,500.0
0.9771060235607912,남성 슈퍼스타 실버 탭 스니커즈 - 화이트 / GMF00102F00031710273,골든구스,9700.0,1031,171,4.9,400.0
0.9768837519448766,브릭 BRICK (BEIGE),디스커버리 익스페디션,11000.0,16557,2925,4.8,2800.0
0.9766614803289619,어센틱 - (체커보드) 블랙:화이트:껌 / VN0004MKIBB1,반스,10000.0,5798,864,4.9,3100.0
