,순위,상품명,브랜드,조회수,좋아요 수,구매후기 수,평점,누적판매량
58,0.9871082462769505,여성 타비 발레리나 플랫 슈즈 - 라이트 브라운 / S58WZ0042P3753T4091,메종 마르지엘라,1300.0,42,0,0.0,50.0
59,0.9868859746610358,Comma 1_Lb,바토즈,3900.0,638,28,5.0,100.0
60,0.9866637030451212,DESERT TREK 26166211,클락스,5600.0,1046,306,4.7,500.0
61,0.9864414314292065,플레인 첼시 부츠 [블랙],무신사 스탠다드,6100.0,8905,1864,4.8,3300.0
62,0.9862191598132919,시티 보이 - 샌드,브랜즈,6100.0,4865,1143,4.9,1500.0
63,0.9859968881973772,191 베이직 레더 키높이 첼시 부츠 루시블랙,비에스큐티바이클래시,6300.0,20473,8420,4.7,5100.0
64,0.9857746165814626,0191 아르데코 소가죽 3홀 더비 구두 밴타블랙,마이애미프로젝트,5900.0,9620,2822,4.8,3600.0
65,0.9855523449655479,세미 드레스 페니 로퍼 [블랙],무신사 스탠다드,8100.0,4160,624,4.8,2600.0
66,0.9853300733496333,남성 팀버랜드 6인치 프리미엄 부츠 / 10061-713,팀버랜드,7000.0,8547,1937,4.9,1600.0
67,0.9851078017337186,라운드 토 베이직 플랫 롱부츠 412148001 (3.5cm/3color),솔트앤초콜릿,12000.0,22316,1938,4.8,5300.0
68,0.984885530117804,아딜렛 클로그 - 블랙:화이트 / GZ5886,아디다스,9400.0,3711,900,4.9,2300.0
69,0.9846632585018893,NBRJDS201W / NB 쿠셔닝 슬라이드 SD1501WT3 (WHITE),뉴발란스,13000.0,4781,386,4.9,1900.0
70,0.9844409868859747,로얄캣 컴포트 - 화이트:블랙 / 372280-02,푸마,22000.0,4607,1230,4.9,3400.0
71,0.98421871527006,공용 BAYABAND CLOG WTN (23SUCL205089),크록스,41000.0,4988,346,4.9,2500.0
72,0.9839964436541454,샌드라인 3 (NAVY),디스커버리 익스페디션,12000.0,7158,1911,4.8,2900.0
73,0.9837741720382307,Max_bl,로스트가든,3600.0,6490,3359,4.9,800.0
74,0.9835519004223161,[WOMEN] 오리지날 플레이 톨 레인부츠 - 블랙 WFT2007RMABLK,헌터,4800.0,3476,560,4.9,700.0
75,0.9833296288064014,샨티 슬라이드 White,킨,6600.0,1914,175,4.9,300.0
76,0.9831073571904868,플립플랍 ZEROVITY BIO 크림,토앤토,8500.0,42815,16270,4.8,31000.0
77,0.9828850855745721,더비 T-2 블랙,포스트맨,3100.0,479,168,4.9,300.0
