순위,상품명,브랜드명,url,조회수,좋아요,구매후기 개수,평점,누적판매량(1년)
901위,GAS STATION DRAWING HOOD IVORY,와릿이즌,https://www.musinsa.com/app/goods/2830372?loc=goods_rank,1.6천 회 이상,224,후기 3개 보기,5,50개 이상
902위,하찌 엘보 볼륨 풀오버_머드베이지,인템포무드,https://www.musinsa.com/app/goods/2319933?loc=goods_rank,2.4천 회 이상,"1,203",후기 273개 보기,4.9,200개 이상
903위,Logo Long Sleeve T-shirt [Black],원더비지터,https://www.musinsa.com/app/goods/2734874?loc=goods_rank,,322,후기 11개 보기,5,50개 미만
904위,Short_sleeve 레이어드 트임 반팔티,브렌슨,https://www.musinsa.com/app/goods/1807073?loc=goods_rank,4.7천 회 이상,"5,433","후기 2,463개 보기",4.8,4.6천 개 이상
905위,베어 프렌즈 스웻셔츠_퍼플브라운(NG2CFUM446A),나이스고스트클럽,https://www.musinsa.com/app/goods/2708964?loc=goods_rank,1000회 이상,742,후기 13개 보기,4.8,50개 이상
906위,[세트상품] 버튼 언발란스 크롭 가디건+소프트 골지 슬리브,어커버,https://www.musinsa.com/app/goods/2742616?loc=goods_rank,1.4만 회 이상,"5,180",후기 196개 보기,4.7,800개 이상
907위,뮤트톤 옥스퍼드 시티보이 셔츠 - 7COL,어반드레스,https://www.musinsa.com/app/goods/2147987?loc=goods_rank,2.8천 회 이상,"1,449",후기 108개 보기,4.7,200개 이상
908위,미니멀 위트 부클레 풀오버_애쉬카키,인템포무드,https://www.musinsa.com/app/goods/2098128?loc=goods_rank,2.7천 회 이상,"6,706","후기 1,781개 보기",4.8,900개 이상
909위,243801 코튼 져지 크루넥 3pcs 패키지,지오다노,https://www.musinsa.com/app/goods/1648578?loc=goods_rank,5.9천 회 이상,"2,330","후기 3,039개 보기",4.8,5.6천 개 이상
910위,E.X.R LOGO UNIFORM SWEATSHIRT_HEATHER GRAY,엑서사이즈,https://www.musinsa.com/app/goods/2852928?loc=goods_rank,1.7천 회 이상,"1,491",후기 31개 보기,4.9,100개 이상
