순위,상품명,브랜드명,url,조회수,좋아요,구매후기 개수,평점,누적판매량(1년)
1441위,[SET UP]파이핑 오버핏 후드 스웨트 셔츠&조거 팬츠 셋업_Black,라퍼지스토어,https://www.musinsa.com/app/goods/3063465?loc=goods_rank,2.5천 회 이상,178,후기 0개,평점 0점,
1442위,(22ALL) UNIVERSITY HANDSOME DAN CREWNECK BLACK,예일,https://www.musinsa.com/app/goods/1595532?loc=goods_rank,1.3만 회 이상,"13,090","후기 2,657개 보기",4.9,800개 이상
1443위,화란 세미오버 니트 모카 베이지,엘무드,https://www.musinsa.com/app/goods/1139099?loc=goods_rank,4.4천 회 이상,"7,356","후기 6,052개 보기",4.9,1.7천 개 이상
1444위,화란 세미오버 니트 미드 그레이,엘무드,https://www.musinsa.com/app/goods/1139096?loc=goods_rank,4.1천 회 이상,"3,285","후기 2,673개 보기",4.8,900개 이상
1445위,Mad Hoppi 피그먼트 반팔티 다크블루,꼼파뇨,https://www.musinsa.com/app/goods/3133235?loc=goods_rank,2천 회 이상,389,후기 3개 보기,5,50개 미만
1446위,백 마운틴 피그먼트 스웨트셔츠 핑크 야로우,트래블,https://www.musinsa.com/app/goods/949544?loc=goods_rank,4.5천 회 이상,"1,079",후기 367개 보기,4.7,200개 이상
1447위,오버사이즈 옥스포드 셔츠 [그레이],무신사 스탠다드,https://www.musinsa.com/app/goods/2093488?loc=goods_rank,6.7천 회 이상,"1,974",후기 750개 보기,4.9,1.4천 개 이상
1448위,TAELOR SERIES MALTESE SWEATSHIRT (OATMEAL GREY) [LRRSCTM147M/LRRSCTM112M],그루브라임,https://www.musinsa.com/app/goods/2999160?loc=goods_rank,6.5천 회 이상,"1,439",후기 66개 보기,4.8,400개 이상
1449위,DN STAR LOGO TEE(PINK),러브이즈트루,https://www.musinsa.com/app/goods/3067178?loc=goods_rank,1.8만 회 이상,"4,974",후기 26개 보기,4.5,200개 이상
1450위,디즈니 숏 후디 - 화이트 / HL9055,아디다스,https://www.musinsa.com/app/goods/2673298?loc=goods_rank,1.5천 회 이상,210,후기 3개 보기,4.7,50개 미만
1451위,PLUR SS TEE WHITE(CV2BMMT515A),카비시,https://www.musinsa.com/app/goods/1849317?loc=goods_rank,1.2천 회 이상,"2,212",후기 231개 보기,4.8,500개 이상
1452위,CLASSIC SWEATSHIRT melange grey,비헤비어,https://www.musinsa.com/app/goods/2772167?loc=goods_rank,,74,후기 6개 보기,4.8,
1453위,23SS DAISY SWEAT SHIRTS_MELANGE,그로브,https://www.musinsa.com/app/goods/3141016?loc=goods_rank,200회 이상,10,후기 0개,평점 0점,
1454위,트위스티드 카라넥 니트-  올리브,라운드트리코,https://www.musinsa.com/app/goods/2764734?loc=goods_rank,200회 이상,245,후기 3개 보기,5,
1455위,헤비웨이트  슈퍼콜리 워크 스웻셔츠 [오트밀],슈퍼서브,https://www.musinsa.com/app/goods/2708880?loc=goods_rank,200회 이상,176,후기 10개 보기,4.9,50개 미만
1456위,MUIL Oversized Sweater [GREEN],아조바이아조,https://www.musinsa.com/app/goods/2734166?loc=goods_rank,900회 이상,186,후기 9개 보기,4.6,
1457위,C 로고 맨투맨 블랙,커버낫,https://www.musinsa.com/app/goods/1563621?loc=goods_rank,1.1만 회 이상,"29,670","후기 7,515개 보기",4.8,1.5만 개 이상
1458위,[EU] 여성 가먼트워시 크롭 스트링 스웨트셔츠 (NORMAL PINK) CKTS3E361P2,챔피온,https://www.musinsa.com/app/goods/3116705?loc=goods_rank,300회 이상,112,후기 0개,평점 0점,
1459위,젠틀 오픈 세미 오버핏 셔츠 블랙,어반드레스,https://www.musinsa.com/app/goods/2005113?loc=goods_rank,1.6만 회 이상,"14,711","후기 2,496개 보기",4.7,9.5천 개 이상
