순위,상품명,브랜드명,url,조회수,좋아요,구매후기 개수,평점,누적판매량(1년)
31위,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],무신사 스탠다드,https://www.musinsa.com/app/goods/996177?loc=goods_rank,5만 회 이상,"70,109","후기 76,871개 보기",4.8,10.8만 개 이상
32위,스포티 라인 스웻셔츠_블랙(NG2DSUM450A),나이스고스트클럽,https://www.musinsa.com/app/goods/3017712?loc=goods_rank,2만 회 이상,"4,467",후기 52개 보기,4.8,300개 이상
33위,TD5-SH07 페이퍼셔츠 -스트로베리크림,토마스모어,https://www.musinsa.com/app/goods/3065127?loc=goods_rank,3.7천 회 이상,442,후기 28개 보기,4.9,50개 이상
34위,남성 와펜 패치 오프 다이 맨투맨 - 핑크 / 761561538V0087,스톤아일랜드,https://www.musinsa.com/app/goods/2931949?loc=goods_rank,1.1천 회 이상,29,후기 0개,평점 0점,
35위,카라 케이블 니트 집업 블랙,굿라이프웍스,https://www.musinsa.com/app/goods/2194649?loc=goods_rank,11.2만 회 이상,"51,989","후기 4,121개 보기",4.8,1.9만 개 이상
36위,워셔블 하찌 니트 - 11 COLOR,수아레,https://www.musinsa.com/app/goods/2396645?loc=goods_rank,17.3만 회 이상,"82,283","후기 22,494개 보기",4.8,9.1만 개 이상
37위,컬러 배색 1992 그래픽 후드 (NAVY),트릴리온,https://www.musinsa.com/app/goods/2995119?loc=goods_rank,9만 회 이상,"15,909",후기 405개 보기,4.8,4.2천 개 이상
38위,듀스 네로 반팔티 화이트,팔렛,https://www.musinsa.com/app/goods/2368712?loc=goods_rank,2.4만 회 이상,"58,280","후기 5,399개 보기",4.9,2.3만 개 이상
39위,케이블 니트 코튼 크루넥 스웨터 - 블루,폴로 랄프 로렌,https://www.musinsa.com/app/goods/3097194?loc=goods_rank,,67,후기 0개,평점 0점,
40위,푸마 X 아미 폴로 티셔츠 - 그린 / 534067-96,푸마 셀렉트,https://www.musinsa.com/app/goods/2395143?loc=goods_rank,3천 회 이상,"1,135",후기 204개 보기,4.9,700개 이상
