순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
181위,퍼스텝,리메인 바시티 자켓 블랙/크림 JUOT4536,https://www.musinsa.com/app/goods/3028088?loc=goods_rank,5001963592,남,4.5만 회 이상,500개 이상,"6,155"
182위,논플로어,윈드 테이커 자켓 7.COL,https://www.musinsa.com/app/goods/2732486?loc=goods_rank,11832746,남 여,3.2만 회 이상,1.1천 개 이상,"4,723"
183위,애프터프레이,카펜터 데님 워크 재킷 라벤더,https://www.musinsa.com/app/goods/3075400?loc=goods_rank,2110013000022,남,200회 이상,,23
184위,빠니깔레,윈터 스판 코튼 D재킷 [2COLOR],https://www.musinsa.com/app/goods/2864075?loc=goods_rank,D-ACJK63,남,,,9
185위,로라로라,V NECK CABLE CARDIGAN NAVY,https://www.musinsa.com/app/goods/2719743?loc=goods_rank,5000026935,여,2.9만 회 이상,4.9천 개 이상,"26,153"
186위,커버낫,BELLANDI 울 발마칸 코트 블랙,https://www.musinsa.com/app/goods/2831706?loc=goods_rank,CO2204CT01BK,남 여,7.7천 회 이상,1.2천 개 이상,"4,778"
187위,에스피오나지,Versatile Insulated Jacket Black,https://www.musinsa.com/app/goods/3031483?loc=goods_rank,20230118-10,남 여,9.8천 회 이상,100개 이상,452
188위,토피,린넨 스트링 야상 자켓 (KHAKI),https://www.musinsa.com/app/goods/2365259?loc=goods_rank,T2S-LSYJKKH,남,5.5천 회 이상,300개 이상,"1,709"
189위,무신사 스탠다드,릴렉스드 베이식 블레이저 [더스티 베이지],https://www.musinsa.com/app/goods/1558688?loc=goods_rank,MMJJK601-UI,남,1.6만 회 이상,5.2천 개 이상,"8,925"
190위,웨스트 그랜드 블러바드,히든 버튼 소프트 코튼 트러커 자켓 MODERN GREY,https://www.musinsa.com/app/goods/2739699?loc=goods_rank,WBMOT005BBMG,남,1.9만 회 이상,500개 이상,822
191위,노매뉴얼,PENON WIND SHELL - KHAKI,https://www.musinsa.com/app/goods/3047180?loc=goods_rank,NM31WB01M1KH,남 여,2.7만 회 이상,100개 이상,"1,424"
192위,디젤,공용 D 라일리 데님 재킷 - 미디움블루 / A06195007E701,https://www.musinsa.com/app/goods/2889028?loc=goods_rank,A06195007E701FW22,남 여,1.8천 회 이상,,270
193위,와이드앵글,VA 로고 올오버 패턴 레인자켓 L_Black,https://www.musinsa.com/app/goods/3052042?loc=goods_rank,WWP23191Z1,여,,,3
194위,커버낫,숏 퀼팅 자켓 블랙,https://www.musinsa.com/app/goods/1576737?loc=goods_rank,CO2203JK20BK,남,2.5만 회 이상,7.2천 개 이상,"30,596"
195위,코드그라피,2-WAY 테크 숏 자켓_차콜,https://www.musinsa.com/app/goods/2284226?loc=goods_rank,CBCS1JP004CH,남 여,3.3만 회 이상,2.2천 개 이상,"9,266"
196위,도프제이슨,카우하이드 싱글 자켓,https://www.musinsa.com/app/goods/406537?loc=goods_rank,DF22SS304,남,1.1만 회 이상,700개 이상,"7,443"
197위,제이미웨스트,JWGC 레터링 우븐 풀오버 (블랙),https://www.musinsa.com/app/goods/3098928?loc=goods_rank,JTA-PU242BK1,남,500회 이상,,24
198위,라이프워크,우븐 투웨이 항공점퍼,https://www.musinsa.com/app/goods/3042028?loc=goods_rank,LW231JP110,남,1.3천 회 이상,50개 미만,55
199위,스파오,[프렌치테리] 루즈핏 2-WAY 후드집업_SPMZD12U01,https://www.musinsa.com/app/goods/2668986?loc=goods_rank,SPMZD12U01,남 여,12.6만 회 이상,1.6만 개 이상,"23,231"
200위,비씨씨,GTX윈드스토퍼MA1자켓_BK,https://www.musinsa.com/app/goods/3075203?loc=goods_rank,1BYJKS3903BK,남,,,6
201위,와이케이,투톤 카라 가디건 블랙,https://www.musinsa.com/app/goods/3121382?loc=goods_rank,YK23SSKN03,여,500회 이상,,32
202위,일꼬르소,웨이브 해링턴 점퍼 크림 IEJU3E208CR,https://www.musinsa.com/app/goods/3058657?loc=goods_rank,IEJU3E208CR,남,8.9천 회 이상,100개 이상,396
203위,노매뉴얼,V.T ZIP UP JACKET - BLACK,https://www.musinsa.com/app/goods/3047271?loc=goods_rank,NM31JK01M1BK,남 여,1.3천 회 이상,,87
204위,수아레,캠브리지 세미 오버 블레이저,https://www.musinsa.com/app/goods/2996528?loc=goods_rank,5001349626,남,2.9만 회 이상,400개 이상,"1,834"
205위,커버낫,스몰 어센틱 로고 후디 집업 멜란지 그레이,https://www.musinsa.com/app/goods/1576565?loc=goods_rank,CO2301HZ01MG,남 여,1.6만 회 이상,1.7천 개 이상,"17,766"
206위,노앙,LONELY/LOVELY ZIP-UP HOODIE OATMEAL,https://www.musinsa.com/app/goods/3098909?loc=goods_rank,0NHO1PV00447,여,1.3천 회 이상,50개 미만,80
