순위,상품명,브랜드명,url,조회수,좋아요,구매후기 개수,평점,누적판매량(1년)
4141위,에넥도트 레글런 스웨트셔츠 멜란지화이트,꼼파뇨,https://www.musinsa.com/app/goods/2975861?loc=goods_rank,8.6천 회 이상,"3,335",후기 45개 보기,4.9,200개 이상
4142위,오버핏 옥스퍼드 셔츠 (BLUE),토피,https://www.musinsa.com/app/goods/1841246?loc=goods_rank,5.6천 회 이상,"12,155","후기 2,986개 보기",4.8,4.6천 개 이상
4143위,[Mmlg] 80S STRIPE KNIT (NAVY),엠엠엘지,https://www.musinsa.com/app/goods/3115703?loc=goods_rank,,10,후기 0개,평점 0점,
4144위,우먼즈 크롭 베어프렌즈 엠보자수 맨투맨 그린(FCB3TS355W),패블러스아카이브,https://www.musinsa.com/app/goods/2299857?loc=goods_rank,8.2천 회 이상,"8,022",후기 713개 보기,4.9,1.5천 개 이상
4145위,LOCATION CREWNECK [PASTEL BLUE],비바스튜디오,https://www.musinsa.com/app/goods/836498?loc=goods_rank,6.3천 회 이상,"26,765","후기 8,897개 보기",4.7,700개 이상
4146위,950g solid hoody-3% gray-,소버먼트,https://www.musinsa.com/app/goods/2768522?loc=goods_rank,3.8천 회 이상,619,후기 79개 보기,4.9,300개 이상
4147위,[23SS clove] Terry Half-Zip Sweatshirt (Navy),클로브,https://www.musinsa.com/app/goods/3100694?loc=goods_rank,300회 이상,63,후기 0개,평점 0점,
4148위,NOI822 하이넥 와플 맨투맨 (그레이),노이아고,https://www.musinsa.com/app/goods/3055963?loc=goods_rank,6.8천 회 이상,"1,443",후기 20개 보기,4.7,100개 이상
4149위,SMILE PAINTING HOODIE NAVY,더바이닐하우스,https://www.musinsa.com/app/goods/2726118?loc=goods_rank,7천 회 이상,"5,237",후기 110개 보기,4.8,500개 이상
4150위,Oversized Slogan Wool Knit Sweater [Black],아조바이아조,https://www.musinsa.com/app/goods/1098524?loc=goods_rank,4천 회 이상,"8,080",후기 974개 보기,4.8,1.2천 개 이상
4151위,CGP 오리진 호랑이 로고 후디_멜란지그레이,코드그라피,https://www.musinsa.com/app/goods/2681011?loc=goods_rank,2.4천 회 이상,"2,470",후기 144개 보기,4.8,200개 이상
